Year Type,Calendar Year,ISO Week,Gender,Product Category,Value
Last Year,2024,39,MEN,ACCESSORIES,1773
Last Year,2024,36,MEN,ACCESSORIES,1353
Last Year,2024,35,MEN,ACCESSORIES,1791
Last Year,2024,34,MEN,ACCESSORIES,0
Last Year,2024,33,MEN,ACCESSORIES,6470
Last Year,2024,32,MEN,ACCESSORIES,1400
Current Year,2025,39,MEN,ACCESSORIES,12459
Current Year,2025,38,MEN,ACCESSORIES,2979
Current Year,2025,37,MEN,ACCESSORIES,1869
Current Year,2025,36,MEN,ACCESSORIES,1280
Current Year,2025,35,MEN,ACCESSORIES,981
Current Year,2025,34,MEN,ACCESSORIES,1095
Current Year,2025,33,MEN,ACCESSORIES,5699
Current Year,2025,32,MEN,ACCESSORIES,4709
Last Year,2024,39,MEN,BOTTOMS,17580
Last Year,2024,38,MEN,BOTTOMS,4192
Last Year,2024,37,MEN,BOTTOMS,14412
Last Year,2024,36,MEN,BOTTOMS,16641
Last Year,2024,35,MEN,BOTTOMS,9020
Last Year,2024,34,MEN,BOTTOMS,44410
Last Year,2024,33,MEN,BOTTOMS,17215
Last Year,2024,32,MEN,BOTTOMS,31657
Current Year,2025,39,MEN,BOTTOMS,40033
Current Year,2025,38,MEN,BOTTOMS,31149
Current Year,2025,37,MEN,BOTTOMS,1990
Current Year,2025,36,MEN,BOTTOMS,7128
Current Year,2025,35,MEN,BOTTOMS,542
Current Year,2025,34,MEN,BOTTOMS,8913
Current Year,2025,33,MEN,BOTTOMS,47842
Current Year,2025,32,MEN,BOTTOMS,56345
Current Year,2025,39,MEN,HOME,2696
Current Year,2025,38,MEN,HOME,7896
Current Year,2025,37,MEN,HOME,9203
Current Year,2025,36,MEN,HOME,6390
Current Year,2025,35,MEN,HOME,5120
Current Year,2025,34,MEN,HOME,0
Current Year,2025,33,MEN,HOME,0
Current Year,2025,32,MEN,HOME,0
Current Year,2025,39,MEN,RESORT,3919
Current Year,2025,38,MEN,RESORT,7955
Current Year,2025,37,MEN,RESORT,0
Current Year,2025,36,MEN,RESORT,4031
Current Year,2025,35,MEN,RESORT,0
Current Year,2025,34,MEN,RESORT,0
Current Year,2025,33,MEN,RESORT,2191
Current Year,2025,32,MEN,RESORT,8800
Last Year,2024,39,MEN,SOCKS,52291
Last Year,2024,38,MEN,SOCKS,49336
Last Year,2024,37,MEN,SOCKS,52854
Last Year,2024,36,MEN,SOCKS,42260
Last Year,2024,35,MEN,SOCKS,55007
Last Year,2024,34,MEN,SOCKS,44924
Last Year,2024,33,MEN,SOCKS,36225
Last Year,2024,32,MEN,SOCKS,61918
Current Year,2025,39,MEN,SOCKS,50057
Current Year,2025,38,MEN,SOCKS,48506
Current Year,2025,37,MEN,SOCKS,48046
Current Year,2025,36,MEN,SOCKS,67356
Current Year,2025,35,MEN,SOCKS,39660
Current Year,2025,34,MEN,SOCKS,53060
Current Year,2025,33,MEN,SOCKS,65042
Current Year,2025,32,MEN,SOCKS,40509
Last Year,2024,39,MEN,SWIM,38311
Last Year,2024,38,MEN,SWIM,48004
Last Year,2024,37,MEN,SWIM,41672
Last Year,2024,36,MEN,SWIM,59637
Last Year,2024,35,MEN,SWIM,68392
Last Year,2024,34,MEN,SWIM,160616
Last Year,2024,33,MEN,SWIM,243213
Last Year,2024,32,MEN,SWIM,327965
Current Year,2025,39,MEN,SWIM,20614
Current Year,2025,38,MEN,SWIM,22028
Current Year,2025,37,MEN,SWIM,36127
Current Year,2025,36,MEN,SWIM,38437
Current Year,2025,35,MEN,SWIM,62217
Current Year,2025,34,MEN,SWIM,86496
Current Year,2025,33,MEN,SWIM,202528
Current Year,2025,32,MEN,SWIM,245459
Last Year,2024,39,MEN,TOPS,209433
Last Year,2024,38,MEN,TOPS,169121
Last Year,2024,37,MEN,TOPS,224597
Last Year,2024,36,MEN,TOPS,226664
Last Year,2024,35,MEN,TOPS,290741
Last Year,2024,34,MEN,TOPS,270108
Last Year,2024,33,MEN,TOPS,261838
Last Year,2024,32,MEN,TOPS,310031
Current Year,2025,39,MEN,TOPS,326894
Current Year,2025,38,MEN,TOPS,246999
Current Year,2025,37,MEN,TOPS,248580
Current Year,2025,36,MEN,TOPS,306083
Current Year,2025,35,MEN,TOPS,308121
Current Year,2025,34,MEN,TOPS,225872
Current Year,2025,33,MEN,TOPS,292149
Current Year,2025,32,MEN,TOPS,350018
Last Year,2024,39,MEN,UNDERWEAR,513014
Last Year,2024,38,MEN,UNDERWEAR,520891
Last Year,2024,37,MEN,UNDERWEAR,526988
Last Year,2024,36,MEN,UNDERWEAR,435736
Last Year,2024,35,MEN,UNDERWEAR,542188
Last Year,2024,34,MEN,UNDERWEAR,643431
Last Year,2024,33,MEN,UNDERWEAR,513466
Last Year,2024,32,MEN,UNDERWEAR,440315
Current Year,2025,39,MEN,UNDERWEAR,642860
Current Year,2025,38,MEN,UNDERWEAR,380228
Current Year,2025,37,MEN,UNDERWEAR,428891
Current Year,2025,36,MEN,UNDERWEAR,476751
Current Year,2025,35,MEN,UNDERWEAR,488787
Current Year,2025,34,MEN,UNDERWEAR,518168
Current Year,2025,33,MEN,UNDERWEAR,627042
Current Year,2025,32,MEN,UNDERWEAR,578055
Last Year,2024,39,WOMEN,DRESSES,1315
Last Year,2024,36,WOMEN,DRESSES,1430
Last Year,2024,35,WOMEN,DRESSES,3010
Last Year,2024,34,WOMEN,DRESSES,1818
Last Year,2024,33,WOMEN,DRESSES,1548
Last Year,2024,32,WOMEN,DRESSES,0
Current Year,2025,39,WOMEN,DRESSES,17
Current Year,2025,38,WOMEN,DRESSES,0
Current Year,2025,37,WOMEN,DRESSES,1472
Current Year,2025,36,WOMEN,DRESSES,0
Current Year,2025,35,WOMEN,DRESSES,0
Current Year,2025,34,WOMEN,DRESSES,0
Current Year,2025,33,WOMEN,DRESSES,1198
Current Year,2025,32,WOMEN,DRESSES,1029
Last Year,2024,39,WOMEN,SOCKS,523
Last Year,2024,38,WOMEN,SOCKS,374
Last Year,2024,37,WOMEN,SOCKS,412
Last Year,2024,36,WOMEN,SOCKS,2827
Last Year,2024,35,WOMEN,SOCKS,2719
Last Year,2024,34,WOMEN,SOCKS,1592
Last Year,2024,33,WOMEN,SOCKS,1187
Last Year,2024,32,WOMEN,SOCKS,2629
Current Year,2025,39,WOMEN,SOCKS,4612
Current Year,2025,38,WOMEN,SOCKS,1443
Current Year,2025,37,WOMEN,SOCKS,5540
Current Year,2025,36,WOMEN,SOCKS,1363
